the  la
lounge  salon
credible  crédible
tuna  thon
revision  révision
recycling  recyclage
daylight  lumière du jour
simmer  mijoter
warrant  garantir
horizontal  horizontal
mattress  matelas
exceptional  exceptionnel
battlefield  champ de bataille
wary  méfiant
bundle  empaqueter
saturated  saturé
embed  intégrer
staffer  membre du personnel
linen  lin
ozone  ozone
robbery  vol
memorable  mémorable
recorder  enregistreur
nicely  bien
footstep  pas
prostitute  prostituée
drip  goutte
clove  clou de girofle
shocking  choquant
elevate  élever
loosen  desserrer
forced  forcé
intake  admission
predictor  prédicteur
lottery  loterie
chore  corvée
fringe  la frange
shopper  client
lengthy  longue
hedge  haie
tattoo  tatouage
reduced  réduit
lease  louer
heating  chauffage
telecommunications  télécommunications
murmur  murmure
coral  corail
appliance  appareil
maid  femme de ménage
circus  cirque
gauge  jauge
census  recensement
rationale  raisonnement
corps  corps
lieutenant  lieutenant
inhabit  habiter
injustice  injustice
quota  quota
stride  foulée
excerpt  extrait
motorcycle  moto
soy  soja
miniature  miniature
insurer  assureur
oversight  surveillance
dub  doubler
copyright  droits d'auteur
reunion  réunion
ripe  mûr
viewpoint  point de vue
unbelievable  incroyable
snatch  arracher
coordination  coordination
amazed  étonné
jewel  bijou
accord  accord
slogan  slogan
outrageous  scandaleux
waiting  attendre
large-scale  grande échelle
overly  trop
perch  perche
shrine  tombeau
all-star  all-star
individually  individuellement
albeit  quoique
mold  mouler
misery  misère
adequately  adéquatement
nickname  surnom
(avenue)  (rue)
addict  toxicomane
dial  cadran
marginal  marginal
mustard  moutarde
berry  baie
ramp  rampe
mug  agresser
controller  manette
villager  villageois
watercolor  aquarelle
cleaning  nettoyage
fertility  la fertilité
relaxed  détendu
hail  grêle
indoor  intérieur
secretly  secrètement
whatsoever  quoi que ce soit
notify  notifier
garment  vêtement
activate  activer
naive  naïve
exert  exercer
arctic  arctique
certification  certification
trustee  curateur
caregiver  soignant
kindergarten  jardin d'enfants
cereal  céréale
fracture  fracture
quilt  courtepointe
turnover  chiffre d'affaires
sensible  sensible
socioeconomic  socio-économique
pyramid  pyramide
bachelor  célibataire
protestant  protestant
moving  en mouvement
tract  tract
operational  opérationnel
convincing  convaincant
decoration  décoration
proudly  fièrement
descendant  descendant
lump  morceau
scarf  foulard
freeway  autoroute
clash  choc
upward  vers le haut
newsletter  bulletin
mammal  mammifère
yank  coup sec
multiply  multiplier
pumpkin  citrouille
imitate  imiter
sampling  échantillonnage
configuration  configuration
velvet  velours
notorious  célèbre
compost  compost
cough  la toux
stereo  stéréo
lethal  mortel
olive  olive
roller  rouleau
entail  entraîner
toast  griller
filmmaker  réalisateur
credential  justificatif
swirl  tourbillon
broadly  largement
smoothly  doucement
ham  jambon
distraction  distraction
fling  jeter
livestock  bétail
basin  bassin
roam  errer
heroic  héroïque
heir  héritier
foam  mousse
offset  décalage
insure  assurer
asteroid  astéroïde
interface  interface
tomb  tombeau
abandoned  abandonné
bald  chauve
bookstore  librairie
straightforward  directe
anticipation  anticipation
don  enfiler
frustrating  frustrant
glorious  glorieux
honesty  honnêteté
encouragement  encouragement
crisp  croustillant
selective  sélectif
meditation  méditation
protester  manifestant
fearful  craintif
sausage  saucisson
(pope)  (le pape)
overturn  renverser
deprive  priver
compact  compact
transcript  transcription
beautifully  magnifiquement
standpoint  point de vue
empower  habiliter
mainland  continent
flourish  fleurir
tug  remorqueur
shiver  frisson
lobster  homard
solidarity  solidarité
discharge  décharge
turning  tournant
detection  détection
saddle  selle
artwork  ouvrages d'art
lasting  durable
occurrence  occurrence
partisan  partisan
abundant  abondant
prone  enclin
renewed  renouvelé
hose  tuyau
aggressively  agressivement
formidable  redoutable
liberation  libération
hammer  marteau
confusing  déroutant
exclusion  exclusion
burial  enterrement
mobilize  mobiliser
vigorous  vigoureux
unwilling  réticent
lazy  fainéant
passport  passeport
packet  paquet
fond  aime
questionable  discutable
surplus  surplus
poise  équilibre
marital  matrimonial
vicious  vicieux
photographic  photographique
surroundings  alentours
victorian  victorien
homemade  fait maison
drape  draper
evangelical  évangélique
spokeswoman  porte-parole
(eagle)  (aigle)
wedge  coin
coffin  cercueil
server  serveur
sandy  sablonneux
tense  tendu
archaeologist  archéologue
disturbance  perturbation
comparative  comparatif
pharmaceutical  pharmaceutique
leisure  loisirs
prototype  prototype
vegetation  végétation
magnet  aimant
emit  émettre
acquaintance  connaissance
unusually  exceptionnellement
contempt  mépris
lender  prêteur
seasonal  saisonnier
bastard  bâtard
efficacy  efficacité
anthropologist  anthropologiste
desired  voulu
(per)  (par)
zoo  zoo
module  module
dominance  dominance
ample  ample
theorist  théoricien
disadvantage  désavantage
stripe  bande
potent  puissant
foremost  avant toute chose
exclaim  exclamer
tee  tee
reported  signalé
dentist  dentiste
crossing  traversée
den  tanière
sorrow  tristesse
oyster  huître
adverse  négatif
provincial  provincial
conditioning  conditionnement
scholarly  savant
improving  améliorer
exaggerate  exagérer
whisk  fouet
pastry  pâtisserie
decisive  décisif
reactor  réacteur
seventeen  dix-sept
visually  visuellement
volcano  volcan
jealous  jaloux
molecular  moléculaire
greeting  salutation
satisfying  satisfaisant
arch  cambre
pasture  pâturage
rebellion  rébellion
constituency  circonscription électorale
chuckle  glousser
swamp  marais
dash  tiret
awesome  impressionnant
lesbian  lesbienne
evidently  évidemment
standardized  standardisé
steering  pilotage
(communist)  (communiste)
deliberate  délibérer
fictional  fictif
bait  appât
usage  usage
novelist  romancier
sore  douloureux
subscale  sous-échelle
reef  récif
oath  serment
embargo  embargo
erect  ériger
registered  inscrit
efficiently  efficacement
implant  implant
deficiency  carence
nephew  neveu
middle-aged  âge moyen
vintage  ancien
blur  se brouiller
enrollment  inscription
dietary  diététique
fertilizer  engrais
fairy  fée
freezing  gelé
altitude  altitude
glare  éblouissement
squint  strabisme
flashlight  lampe de poche
urgency  urgence
five-year  cinq ans
protected  protégé
recruitment  recrutement
handy  pratique
racist  raciste
download  télécharger
oddly  bizarrement
varied  varié
differentiate  différencier
collaborate  collaborer
follow-up  suivre
succession  succession
waitress  serveuse
tricky  rusé
elk  wapiti
brazilian  brésilien
remnant  reste
cement  ciment
morally  moralement
recite  réciter
communal  communautaire
situate  situer
guiding  guidage
unemployed  sans emploi
cuisine  cuisine
thinker  penseur
expanding  expansion
wrestle  lutter
interference  ingérence
underestimate  sous-estimer
spoil  gâcher
bacon  bacon
maturity  maturité
devastate  dévaster
clause  clause
navigate  naviguer
committed  engagé
collaborative  collaboratif
robust  robuste
darling  chéri
parlor  parloir
bulletin  bulletin
ecology  écologie
northwestern  nord-ouest
deployment  déploiement
accessory  accessoire
resent  en vouloir
terrace  terrasse
continuity  continuité
indirect  indirect
petty  petit
temper  tempérer
grass-roots  à la base
blossom  fleur
smiling  souriant
genuinely  véritablement
obsessed  obsédé
spacecraft  vaisseau spatial
long-standing  de longue date
generic  générique
bureaucratic  bureaucratique
marathon  marathon
globalization  mondialisation
prestigious  prestigieux
discomfort  malaise
icy  glacé
applied  appliqué
backpack  sac à dos
massacre  massacre
spur  éperon
trench  tranchée
low-income  faible revenu
deviation  déviation
spirituality  spiritualité
whistle  siffler
cinnamon  canelle
devotion  dévouement
governance  gouvernance
diesel  diesel
astronomy  astronomie
appropriately  de manière appropriée
insane  insensé
unpleasant  désagréable
roster  liste
skeleton  squelette
briefing  compte rendu
spawn  frayer
entertaining  divertissant
sew  coudre
inflict  infliger
marked  marqué
indict  accuser
muddy  boueux
profoundly  profondément
two-year  deux ans
occupational  professionnel
singing  en chantant
turtle  tortue
trio  trio
ferry  traversier
leverage  effet de levier
consulting  consultant
sticky  collant
comeback  revenir
thereafter  après
conflicting  contradictoire
clergy  le clergé
astonishing  étonnant
renewal  renouvellement
turmoil  la tourmente
painted  peint
migrate  émigrer
perfection  la perfection
referral  référence
randomly  au hasard
keen  enthousiaste
sustained  soutenu
rite  rite
offspring  progéniture
mathematical  mathématique
imaginary  imaginaire
orient  orient
archive  archiver
adhere  adhérer
receipt  le reçu
re-create  recréer
radically  radicalement
pillar  pilier
swedish  suédois
underwear  sous-vêtement
contamination  contamination
appropriation  appropriation
uneasy  inquiet
disappearance  disparition
unacceptable  inacceptable
privileged  privilégié
carriage  le chariot
sporting  sportif
messenger  messager
artillery  artillerie
hitter  frappeur
pavement  chaussée
moist  humide
retention  rétention
relevance  pertinence
mentality  mentalité
postpone  remettre à plus tard
motif  motif
contention  contention
tractor  tracteur
beneficiary  bénéficiaire
helpless  sans espoir
ballet  ballet
statewide  à l'échelle de l'état
hobby  loisir
bosnian  bosniaque
velocity  rapidité
critically  critique
pathway  sentier
reconcile  réconcilier
(up)  (en haut)
compartment  compartiment
policymaker  décideur politique
madness  la démence
hub  moyeu
noisy  bruyant
opposing  opposé
cleaner  nettoyeur
insult  insulter
asthma  asthme
usher  huissier
respected  respecté
golfer  golfeur
misleading  trompeur
fury  fureur
embark  embarquer
spontaneous  spontané
slender  mince
proliferation  prolifération
bloom  floraison
necklace  collier
perimeter  périmètre
brochure  brochure
blouse  chemisier
firing  cuisson
proximity  proximité
lettuce  salade
manifestation  manifestation
brace  entretoise
perfume  parfum
matching  correspondant à
symbolize  symboliser
flock  troupeau
rivalry  rivalité
firearm  arme à feu
sermon  sermon
refine  affiner
volatile  volatil
oval  ovale
mule  mule
rigorous  rigoureux
linebacker  secondeur
delighted  ravi
turf  gazon
hurdle  obstacle
canoe  canoë
sturdy  robuste
broaden  élargir
definitive  définitive
workforce  la main d'oeuvre
propel  propulser
voyage  voyage
parsley  persil
replicate  reproduire
distort  fausser
scoop  scoop
swift  rapide
overweight  en surpoids
advancement  avancement
basics  bases
undo  annuler
tab  languette
stalk  traquer
intimidate  intimider
goddess  déesse
verge  bord
plague  la peste
sergeant  sergent
batch  grouper
grandson  petit fils
lace  dentelle
bipartisan  biparti
(lord)  (seigneur)
deter  dissuader
smoker  fumeur
expire  expirer
catastrophe  catastrophe
adjacent  adjacent
withhold  retenir
messy  désordonnée
privatization  privatisation
unpredictable  imprévisible
ivory  ivoire
embryo  embryon
coincide  coïncider
diagnostic  diagnostique
decorative  décoratif
stark  rigide
lucrative  lucratif
transcend  transcender
rag  chiffon
resistant  résistant
violin  violon
promptly  rapidement
expanded  étendu
escort  escorte
dedicated  dédié
reopen  rouvrir
homosexuality  homosexualité
stall  paralyser
detention  retenue
liar  menteur
talking  en parlant
southeastern  sud-est
elicit  obtenir
fascination  fascination
pact  pacte
hull  coque
contender  concurrent
oblige  obliger
vest  gilet
inquire  renseigner
bust  bousiller
signify  signifier
(prime-time)  (heure de grande écoute)
prestige  prestige
bolster  traversin
elevation  élévation
loved  aimé
linguistic  linguistique
splash  éclaboussure
vibrant  vibrant
sensibility  sensibilité
parole  parole
backdrop  toile de fond
reformer  réformateur
happening  événement
poetic  poétique
modeling  la modélisation
interrogation  interrogatoire
shooter  tireur
scoring  notation
stain  tache
sticker  autocollant
imminent  imminent
foil  déjouer
alpha  alpha
flawed  défectueux
geographical  géographique
publishing  édition
rude  impoli
backwards  en arrière
bearing  palier
unveil  dévoiler
frustrated  frustré
clap  taper
landlord  propriétaire
uncommon  rare
bunker  bunker
accepted  accepté
animated  animé
deepen  approfondir
enduring  durable
amusement  amusement
curb  trottoir
implicit  implicite
anthropology  anthropologie
conquer  conquérir
crouch  accroupissement
interestingly  de façon intéressante
