the  la
catastrophe  catastrophe
adjacent  adjacent
withhold  retenir
messy  désordonnée
privatization  privatisation
unpredictable  imprévisible
ivory  ivoire
embryo  embryon
coincide  coïncider
diagnostic  diagnostique
decorative  décoratif
stark  rigide
lucrative  lucratif
transcend  transcender
rag  chiffon
service  service
resistant  résistant
violin  violon
promptly  rapidement
expanded  étendu
escort  escorte
eye  œil
dedicated  dédié
reopen  rouvrir
homosexuality  homosexualité
cheer  applaudir
stall  paralyser
stream  flux
detention  retenue
liar  menteur
talking  en parlant
southeastern  sud-est
elicit  obtenir
fascination  fascination
pact  pacte
hull  coque
contender  concurrent
oblige  obliger
vest  gilet
inquire  renseigner
bust  bousiller
deposit  verser
signify  signifier
(prime-time)  (heure de grande écoute)
prestige  prestige
bolster  traversin
elevation  élévation
loved  aimé
linguistic  linguistique
splash  éclaboussure
vibrant  vibrant
sensibility  sensibilité
parole  parole
backdrop  toile de fond
reformer  réformateur
happening  événement
poetic  poétique
modeling  la modélisation
interrogation  interrogatoire
shooter  tireur
scoring  notation
stain  tache
sticker  autocollant
beam  faisceau
power  puissance
imminent  imminent
foil  déjouer
alpha  alpha
flawed  défectueux
geographical  géographique
publishing  édition
rude  impoli
backwards  en arrière
bearing  palier
unveil  dévoiler
frustrated  frustré
clap  taper
landlord  propriétaire
uncommon  rare
bunker  bunker
air  air
accepted  accepté
animated  animé
deepen  approfondir
enduring  durable
amusement  amusement
curb  trottoir
implicit  implicite
bark  aboyer
anthropology  anthropologie
conquer  conquérir
crouch  accroupissement
interestingly  de façon intéressante
dictator  dictateur
composite  composite
unlimited  illimité
therapeutic  thérapeutique
fetch  aller chercher
healing  guérison
inhale  inhaler
genetically  génétiquement
forthcoming  à venir
circular  circulaire
siren  sirène
vacant  vacant
width  largeur
greed  cupidité
environmentally  écologiquement
deaf  sourd
hillside  flanc de coteau
incoming  entrant
referendum  référendum
welcome  bienvenue
complement  complément
weary  se lasser
fastest  le plus rapide
allocate  allouer
four-year  quatre ans
duck  canard
(tiger)  (tigre)
lush  luxuriant
resident  résident
probable  probable
mourn  faire le deuil
millionaire  millionnaire
arguably  discutablement
scarce  rare
charitable  charitable
forward  effronté
siege  siège
paradox  paradoxe
hurry  dépêche toi
prevailing  régnant
barbecue  barbecue
pervasive  envahissant
definite  précis
preside  présider
discriminate  discriminer
strangely  étrangement
disruption  perturbation
translator  traducteur
strategist  stratège
trademark  marque déposée
nowadays  de nos jours
displace  déplacer
territorial  territorial
homosexual  homosexuel
multicultural  multiculturel
catalogue  catalogue
marsh  le marais
polar  polaire
gradual  graduel
stall  paralyser
solitary  solitaire
documentation  documentation
casually  mine de rien
puppy  chiot
bass  basse
angler  pêcheur
slump  marasme
remainder  reste
median  médian
prohibition  interdiction
inaudible  inaudible
pending  en attendant
dating  rencontre
neglect  négligence
coconut  noix de coco
dislike  ne pas aimer
badge  badge
(navy)  (marine)
void  annuler
paradise  paradis
seafood  fruit de mer
battered  battu
granite  granit
theologian  théologien
erode  éroder
curse  malédiction
hum  hum
synthetic  synthétique
restrain  restreindre
viewing  visualisation
syrup  sirop
qualification  qualification
buying  achat
desktop  bureau
beverage  boisson
premiere  première
mimic  imiter
illegally  illégalement
wholly  entièrement
oppression  oppression
ammunition  munition
paperwork  formalités administratives
pierce  transpercer
hybrid  hybride
indulge  se livrer
pest  ravageur
lodge  loge
steroids  stéroïdes
interim  intérimaire
prairie  prairie
atmospheric  atmosphérique
suspected  soupçonné
commuter  banlieusard
flick  feuilleter
answering  répondre
serial  en série
investigative  investigateur
dice  dé
dwarf  nain
panic  panique
pear  poire
fund-raiser  levée de fonds
boomer  boomer
surpass  dépasser
infinite  infini
gossip  potins
reflective  réfléchissant
contradict  contredire
day-to-day  au jour le jour
muscular  musclé
landfill  décharge
finished  achevé
commute  commuer
temporal  temporel
bilateral  bilatéral
pluck  cueillir
lunar  lunaire
discrepancy  divergence
utter  dire
patio  patio
sincere  sincère
intermediate  intermédiaire
roommate  colocataire
demise  disparition
enrich  enrichir
chant  chant
submarine  sous-marin
overwhelmingly  massivement
premature  prématuré
sound  sonner
tout  tout
crater  cratère
comfortably  confortablement
exploitation  exploitation
clown  pitre
ditch  fossé
secondly  en deuxième
loaf  pain
cushion  coussin
(princess)  (princesse)
wrestling  lutte
vaguely  vaguement
twilight  crépuscule
one-time  une fois
adolescence  adolescence
sweep  balayer
comprehend  comprendre
dispose  disposer
unlock  ouvrir
imaging  imagerie
stock  stock
squirrel  écureuil
e-mail  e-mail
fare  tarif
destine  destiner
bleeding  saignement
royalty  royalties
divide  diviser
rage  rage
superb  superbe
responsive  sensible
gear  équipement
understandable  compréhensible
salon  salon
loosely  librement
evacuate  évacuer
recruit  recruter
float  flotter
descriptive  descriptif
modified  modifié
hardship  épreuves
squash  écraser
postcard  carte postale
gesture  geste
instability  instabilité
pity  dommage
relocate  déménager
affiliate  affilier
elusive  insaisissable
dodge  esquive
unwanted  indésirable
bureaucrat  bureaucrate
claw  griffe
marvelous  merveilleux
projected  projeté
skepticism  scepticisme
incomplete  incomplet
laborer  ouvrier
continuously  en continu
immunity  immunité
reliance  dépendance
planetary  planétaire
nucleus  noyau
cater  approvisionner
fax  fax
taliban  talibans
chess  échecs
(buffalo)  (buffle)
blonde  blond
brightly  brillamment
tornado  tornade
filing  dépôt
camel  chameau
heck  zut
comic  bande dessinée
declining  déclin
conform  se conformer
worthwhile  digne d'intérêt
book  livre
cuff  manchette
bud  bourgeon
shipment  expédition
roar  rugir
admiration  admiration
certified  agréé
sperm  sperme
sedan  sedan
accompanying  accompagnement
apartheid  aparté
off  désactivé
overview  aperçu
withstand  résister
earring  boucle d'oreille
irrigation  irrigation
expel  expulser
mine  mien
extinction  extinction
apparatus  appareil
reluctance  réluctance
forgiveness  le pardon
scarcely  à peine
cabbage  choux
slack  mou
lumber  bois de charpente
extensively  largement
societal  sociétal
prevalent  fréquent
benign  bénin
calmly  calmement
follow-up  suivre
dedication  dévouement
inequality  inégalité
archaeological  archéologique
(boulder)  (rocher)
kidnap  kidnapper
produce  produire
windshield  pare-brise
rugged  robuste
preschool  préscolaire
obscure  obscur
apt  apte
earnest  sérieux
halt  arrêt
optimal  optimal
closing  fermeture
coherent  cohérent
chat  discuter
canned  en conserve
simplicity  simplicité
staple  agrafe
plaque  plaque
confidential  confidentiel
autobiography  autobiographie
superstar  superstar
draw  dessiner
sleek  lisse
characteristic  caractéristique
elaborate  élaborer
compatible  compatible
intensely  intensément
indirectly  indirectement
deduction  déduction
whiskey  whisky
dune  dune
grilled  grillé
rinse  rincer
vigorously  vigoureusement
interpersonal  interpersonnel
appropriate  approprié
staircase  escalier
shipping  expédition
susceptible  sensible
inconsistent  inconsistant
sunglasses  des lunettes de soleil
appealing  attirant
ambiguity  ambiguïté
relentless  sans relâche
fixture  fixation
tester  testeur
crumble  émietter
vampire  vampire
mold  mouler
canopy  canopée
certify  certifier
lure  leurre
vase  vase
merchandise  marchandise
periodically  périodiquement
negotiator  négociateur
maternal  maternel
gardening  jardinage
massage  massage
loneliness  solitude
cynical  cynique
blunt  cru
manual  manuel
excel  exceller
fungus  champignon
accidentally  accidentellement
gratitude  reconnaissance
astronomical  astronomique
emperor  empereur
(affiliation)  (affiliation)
authoritarian  autoritaire
hue  teinte
triple  tripler
enzyme  enzyme
fuck  merde
outraged  indigné
disparity  disparité
cease-fire  cessez-le-feu
deepest  le plus profond
intercept  intercepter
postal  postal
ambiguous  ambigu
lodge  loge
whistle  siffler
surviving  survivant
cylinder  cylindre
cafeteria  cafétéria
dire  terrible
membrane  membrane
preceding  précédent
selling  vente
hybrid  hybride
allocation  allocation
dismantle  démanteler
honorable  honorable
communism  communisme
pave  paver
heap  tas
high-speed  grande vitesse
precaution  précaution
fry  frire
glide  glisser
high-profile  haut profil
infectious  infectieux
surface  surface
nervously  nerveusement
onset  début
infrared  infrarouge
activism  activisme
unstable  instable
heated  chauffé
invariably  invariablement
pottery  poterie
qualitative  qualitatif
saucepan  casserole
awe  admiration
internationally  internationalement
informant  informateur
myriad  myriade
reluctantly  à contrecœur
overnight  pendant la nuit
scout  scout
metro  métro
pressure  pression
assault  agression
insufficient  insuffisant
folder  dossier
exposed  exposé
exemption  exemption
crap  merde
stew  ragoût
spy  espionner
governing  gouvernant
antenna  antenne
printed  imprimé
subcommittee  sous-comité
trousers  des pantalons
plausible  plausible
co-author  coauteur
underneath  sous
sneakers  baskets
someplace  quelque part
(rep)  (représentant)
energetic  énergique
secrecy  secret
abusive  injurieux
behalf  au nom de
screw  visser
airborne  aéroporté
harass  harceler
equal  égal
ethic  éthique
embarrass  embarrasser
nazi  nazi
substantive  substantiel
endanger  mettre en danger
grader  niveleuse
billboard  panneau publicitaire
confer  conférer
daytime  jour
paralyze  paralyser
designated  désigné
thermal  thermique
precinct  enceinte
stare  regard
arouse  susciter
silence  silence
shrub  arbuste
underway  en cours
napkin  serviette de table
pressing  pressage
consolidate  consolider
stressful  stressant
tribunal  tribunal
unload  décharger
dental  dentaire
cockpit  poste de pilotage
nationalist  nationaliste
pornography  pornographie
urine  urine
obesity  obésité
affluent  affluent
cozy  confortable
harbor  port
takeover  reprendre
exacerbate  exacerber
station  station
milky  laiteux
innings  manches
realism  le réalisme
(knight)  (chevalier)
tangible  tangible
feat  exploit
groan  gémissement
militant  militant
dwell  demeurer
forecast  prévision
torch  torche
lurk  se cacher
hay  foins
spinach  épinard
plug  brancher
mistress  maîtresse
swiftly  rapidement
terminate  mettre fin
huddle  se blottir
strap  sangle
tactical  tactique
space  espacer
attic  grenier
constellation  constellation
beetle  scarabée
plague  la peste
populate  peupler
maneuver  manœuvre
(pearl)  (perle)
probation  probation
wreck  détruire
smack  claque
all-time  tout le temps
think  pense
civilized  civilisé
subscriber  abonné
pirate  pirate
worship  culte
sewage  eaux usées
renowned  renommé
gee  bon sang
would-be  serait
baptist  baptiste
dusk  crépuscule
sweetheart  amoureux
platter  plat
masculine  masculin
lingering  persistant
printing  impression
crumb  miette
disposition  disposition
allergy  allergie
triple  tripler
provocative  provocant
stolen  volé
extract  extrait
batter  battre
dart  dard
reversal  renversement
wax  la cire
disappointing  décevant
sob  sanglot
effect  effet
allegiance  allégeance
felony  crime
homosexual  homosexuel
retiree  retraité
graceful  gracieux
part  partie
socialism  socialisme
freezer  congélateur
wholesale  de gros
disastrous  catastrophique
fusion  la fusion
split  diviser
adversary  adversaire
voucher  bon
subsidize  subventionner
labor  la main d'oeuvre
fingertip  bout du doigt
shovel  pelle
puppet  fantoche
single  célibataire
chapel  chapelle
throne  trône
filling  remplissage
intricate  complexe
gunman  tireur
pastoral  pastorale
scheduled  programmé
orchard  verger
floating  flottant
explosives  explosifs
cash  en espèces
fingerprint  empreinte digitale
auditor  auditeur
renovation  rénovation
mural  mural
burger  burger
right-wing  aile droite
glue  la colle
chick  poussin
chord  accord
dash  tiret
sideline  ligne de touche
visibility  visibilité
diaper  couche
restructuring  restructuration
unified  unifié
theatrical  théâtral
turbine  turbine
frenzy  frénésie
incorrect  incorrect
shining  brillant
mankind  humanité
(plus)  (plus)
serbian  serbe
betrayal  trahison
reverse  inverser
baggage  bagages
glare  éblouissement
condo  copropriété
veto  veto
shack  cabane
showcase  vitrine
eventual  éventuel
focal  focal
insurgent  insurgé
wire  fil
